volume,year,title,description,pdf_url,issn
1,1979,Lesões traumáticas do nariz na infância,   ,,E-ISSN 1679-0359
1,1979,A saúde nos países em desenvolvimento,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5799/5270,E-ISSN 1679-0359
1,1979,Contribuição para modelo de plano de saúde dental em area rural concentrada,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5798/5269,E-ISSN 1679-0359
1,1979,Ensaio terapêutico no tratamento de parasitoses intestinais com mebendazole,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5797/5268,E-ISSN 1679-0359
1,1979,The use of periodontal surgery to enhance the results of restorative dentistry,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5800/5271,E-ISSN 1679-0359
1,1979,Mensuração de interdisciplinaridade: um modelo operacional,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5796/5267,E-ISSN 1679-0359
1,1979,"Comparação da capacidade ovipositora entre 3 espécies de moluscos planorbidae, hospedeiros intermediários do Schistosoma mansoni no Brasil, Biomphalaria glabrata (SAY, 1818), Biomphalaria tenagophila (D'ORBIGNY, 1835) E Biomphalaria straminea (LUTZ, 19",  ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5794/5265,E-ISSN 1679-0359
1,1979,O átomo de hidrogênio,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5795/5266,E-ISSN 1679-0359
2,1980,Enriquecimento de pão com lisina: revisão e perspectivas,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5818/5289,E-ISSN 1679-0359
2,1980,Surto epidêmico de leishmaniose tegumentar americana no município de Lobato – Paraná,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5819/5290,E-ISSN 1679-0359
2,1980,"Sincronização do ciclo estral em vacas nelore com prostaglandi na F2-alfa análoga (ICI-80.996, Cloprostenol) por via intramuscular",   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5808/5279,E-ISSN 1679-0359
2,1981,"Prevalência das exodontias em pacientes do distrito de Guaravera, município de Londrina, PR",   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5746/5228,E-ISSN 1679-0359
1,1979,O emprego de auxiliares de saúde no Brasil na atualidade,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5791/5262,E-ISSN 1679-0359
1,1978,Avaliação de aptidão física em atletas profissionais,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5781/5252,E-ISSN 1679-0359
1,1978,Técnicas empregadas na ánalise de itens,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5780/5251,E-ISSN 1679-0359
1,1978,Uso de vitamina A em dermatologia,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5770/5242,E-ISSN 1679-0359
1,1978,Estudo da prevalência de mastite bovina,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5769/5241,E-ISSN 1679-0359
1,1978,Avaliação do rendimento físico em universitários,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5767/5239,E-ISSN 1679-0359
1,1978,A extensão na Universidade Estadual de Londrina,   ,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/5768/5240,E-ISSN 1679-0359
37,2016,Needs and challenges of using enrichment materials in the pig industry,,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/20394/18023,E-ISSN 1679-0359
29,2008,Canine toxoplasmosis : clinical and pathological aspects,,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/2881/2441,E-ISSN 1679-0359
37,2016,Cross-amplification of heterologous microsatellite markers in Rhamdia quelen and Leporinus elongatus,,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/22603/18022,E-ISSN 1679-0359
37,2016,Antimicrobial susceptibility of Clostridium perfringens isolated from domestic and wild animal species in Brazil,,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/20983/17997,E-ISSN 1679-0359
37,2016,Pathological and immunohistochemical findings of a case of canine chagasic myocarditis in the state of Mato Grosso,,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/20267/18048,E-ISSN 1679-0359
37,2016,Parasitism of Helicoverpa armigera pupae (Lepidoptera: Noctuidae) by Tetrastichus howardi and Trichospilus diatraeae (Hymenoptera: Eulophidae),,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/20291/17981,E-ISSN 1679-0359
37,2016,Blood gases of horses subjected to jugular vein occlusion during treadmill exercise,,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/20066/17996,E-ISSN 1679-0359
29,2008,Use of active films in the minimally processed potato conservation,,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/2826/2402,E-ISSN 1679-0359
29,2008,Technique of indicator amino acid oxidation,,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/2735/2359,E-ISSN 1679-0359
29,2008,The importance of food animals in the infection for Toxoplasma gondii in Brazil,,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/2802/2386,E-ISSN 1679-0359
30,2009,Papilomatosis in dogs: literature review and study of twelve cases,,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/2678/2328,E-ISSN 1679-0359
29,2008,Tibial plato leveling osteotomy,,https://www.uel.br/revistas/uel/index.php/semagrarias/article/view/2801/2385,E-ISSN 1679-0359
